ISQ,ROI,Tb.Th.,Tb.Sp.,Tb.N.,CV,BV/TV
C0015052,1,0.1404915782751827,1.2731927872184248,1.0992809740536398,0.16409423575342363,0.04085824307856955
C0015052,2,0.1360592769678766,1.2137170434204096,1.1446136043291977,0.14942928495976643,0.04184321101158973
C0015053,0,0.14086723043223232,1.0978142523512335,1.4638622548894895,0.08782450981706313,0.0821426597451345
C0015053,1,0.1432463695576273,1.062756013778645,1.5313416704602487,0.10109690359087144,0.09196954181784198
C0015053,2,0.1461543690568158,1.0107821379702784,1.6340963096041423,0.056574152429426726,0.10245619308640692
C0015054,0,0.20177134364020327,0.9143206914825494,1.851505608998732,0.030604680376458426,0.1766623341706567
C0015054,1,0.19855546556447745,0.8939873176690907,1.876127107272428,0.05550251528004036,0.17522309927974614
C0015054,2,0.18770033386660628,0.885010181361284,1.9128270195643677,0.06705126762098067,0.16685909934879176
C0015064,0,0.16237401738155674,1.1258037953316955,1.376194463383293,0.1205835355903455,0.08033463671458653
C0015064,1,0.1550349204153016,1.0518039164648882,1.4458299205639102,0.13199318681597935,0.07925612592385559
C0015064,2,0.15969877513136876,1.0524745106993654,1.4620400022376905,0.10313959381514287,0.08520071786515147
C0015069,0,0.17352673437497904,1.106376486345973,1.576792069312652,0.10953169776585987,0.11232189152201814
C0015069,1,0.17553410035291572,1.1190947025005507,1.5588222195551373,0.07373086437340641,0.11227699443746918
C0015069,2,0.17587814160725304,1.0679821249681252,1.6487638188500715,0.0940497288152582,0.12202408610894666
C0015070,0,0.1647042834528456,0.9712032102679782,1.7401879792434929,0.04875689881147096,0.12431745534134948
C0015070,1,0.16355617086643506,0.9832373613154974,1.7293105717831219,0.04069396518826523,0.1226032802943296
C0015070,2,0.17252643647955843,0.9457063243319315,1.7934351780089033,0.08240500287668612,0.13652455853089068
C0015086,0,0.13414200180825955,1.470635762685755,0.9237537885559496,0.24676160269919045,0.028071052120894686
C0015086,1,0.12702067588685337,1.4104726552052353,0.9969367920941855,0.14388777692480106,0.030795694901382464
C0015086,2,0.12051975191690131,1.2601266367221284,1.065540304977383,0.08850309192242643,0.03017164722085303
C0015105,0,0.15930146172570256,1.3140369368728047,1.2847647550094816,0.06528431284547727,0.07622633553134349
C0015105,1,0.15829259683663222,1.2771723520182021,1.32229141112076,0.030594887487976914,0.07981988946076247
C0015105,2,0.1588824089386046,1.2999944661064158,1.32632242956298,0.04461356338602489,0.08147083807949278
C0015107,0,0.1469606905724733,1.4637702969305622,1.012223714601129,0.11469340075338742,0.043705720795231114
C0015107,1,0.14420927363675917,1.5038381923357962,0.9668463160268093,0.20072265311002255,0.039662367821675405
C0015107,2,0.1377042208626415,1.6366707152120894,0.8732342575810613,0.1297543197302339,0.031205980152175836
C0017431,0,0.18707311132627683,0.7474172999165054,2.086421873379977,0.06216238410027519,0.16354804833681147
C0017431,1,0.18560288564711178,0.7272365630184137,2.127742807147052,0.060597978453902725,0.1626309273087432
C0017431,2,0.17607349713097462,0.7155347164152017,2.1210529119306356,0.11818939904562728,0.14954368869913356
C0017562,0,0.2068856822754625,0.9518151241142809,1.587689472113668,0.09214702785838902,0.130968108423931
C0017562,1,0.20200840726168287,0.9708497501070817,1.5453903070850605,0.09311661253898323,0.12073992051733995
C0017562,2,0.20326857270470375,1.021456471103119,1.4750282496571678,0.07418266622909739,0.11254092826945364
C0017563,0,0.13981286304818144,1.2485126671619127,1.211349065846436,0.12980723794686572,0.04684088856822587
C0017563,1,0.13784919773639498,1.3118526923508615,1.1195226018688784,0.1564741623974423,0.040696155885467274
C0017563,2,0.14907172947803712,1.4328507249765916,1.0026719371103707,0.12981162798852164,0.03435782087161718
C0017564,0,0.16224162489204252,1.8665255702750383,0.8512779817665319,0.13718635775048493,0.04152054045977056
C0017564,1,0.16491163389876953,1.7156285981409969,0.9615698908483893,0.19550115903486012,0.049498708794719896
C0017564,2,0.18518104516904424,1.3871037915817925,1.1211246010649847,0.15560901381727185,0.06663649262929358
C0017565,0,0.16142062822991127,1.9789782273837284,0.7597246302979078,0.13680184174080706,0.03224584893761293
C0017565,1,0.1583991528296614,1.627497630651656,0.900825949728995,0.14927125758577792,0.039002249910598134
C0017565,2,0.16945008468977424,1.4378005431650898,0.993627592855188,0.16106754403067924,0.0486107926663097
C0017566,0,0.1352738712326477,1.38241712304078,1.1331012896840997,0.27530060844221244,0.04232958156440273
C0017566,1,0.1508088426634773,1.1421596805191343,1.3912367508894978,0.26600429391301583,0.06632528609032526
C0017566,2,0.1644132072349529,0.9147034682852511,1.7131491993640668,0.15995978863216154,0.10376962896177541
C0017567,0,0.20559416890125407,0.9635897096858776,1.6424775011854287,0.0610116429544034,0.1484609715310638
C0017567,1,0.19753856593546662,0.9682746360480374,1.6311248233037356,0.08941505999801858,0.1334500454114395
C0017567,2,0.19174089201659786,0.9768282858130348,1.6111246469092353,0.06865086529443137,0.12672755699357963
C0017568,0,0.15255990700500302,1.2671469899060392,1.2316034834951115,0.05942837812022627,0.06607211884075205
C0017568,1,0.1458637331801973,1.2650943513048865,1.2313343443594413,0.07432618642067498,0.06303014521024826
C0017568,2,0.146569484750378,1.4687541073855317,1.1225702573826613,0.12373286833465764,0.05619482562408255
R0017432,0,0.1452120573132514,1.0898900302544159,1.7613077406210116,0.3921473510764516,0.10960740507230697
R0017432,1,0.14520911631321792,0.848013069911135,1.9572757689801337,0.04816959685195875,0.12688691984902722
R0017432,2,0.14061506217841158,1.1119657204943874,1.6268413220423426,0.3653079766343105,0.09531114900095705
R0017569,0,0.1656379522774013,1.4537063388002531,1.1150182380540914,0.43654700610164443,0.0589430720660104
R0017569,1,0.1667874801109218,1.285619426010027,1.155958025147928,0.13204688996244895,0.05848398847914657
R0017569,2,0.17210105889266028,1.7058232429085416,0.9852192454077414,0.44479071374727847,0.048999544752280556
R0017570,0,0.1636339927567266,1.3172804871351957,1.2556236243456538,0.3597688965874292,0.08054286329020831
R0017570,1,0.16354856750115807,1.0969225001878438,1.4118353123130807,0.055532878172097,0.09181068024052283
R0017570,2,0.17191300058439415,1.2970895687197945,1.2420307287867767,0.35525561989674675,0.08263312770178013
